date,sex,age,ethnicity,population
2022-01-01,both,overall,overall,32698.1
2022-01-01,both,overall,bumi_malay,17422.0
2022-01-01,both,overall,bumi_other,3679.8
2022-01-01,both,overall,chinese,6873.7
2022-01-01,both,overall,indian,1999.9
2022-01-01,both,overall,other_citizen,222.8
2022-01-01,both,overall,other_noncitizen,2500.0
2022-01-01,both,0-4,overall,2374.2
2022-01-01,both,0-4,bumi_malay,1478.3
2022-01-01,both,0-4,bumi_other,271.3
2022-01-01,both,0-4,chinese,319.2
2022-01-01,both,0-4,indian,107.2
2022-01-01,both,0-4,other_citizen,20.9
2022-01-01,both,0-4,other_noncitizen,177.2
2022-01-01,both,5-9,overall,2592.8
2022-01-01,both,5-9,bumi_malay,1518.1
2022-01-01,both,5-9,bumi_other,293.7
2022-01-01,both,5-9,chinese,482.7
2022-01-01,both,5-9,indian,141.2
2022-01-01,both,5-9,other_citizen,17.1
2022-01-01,both,5-9,other_noncitizen,140.0
2022-01-01,both,10-14,overall,2613.0
2022-01-01,both,10-14,bumi_malay,1480.0
2022-01-01,both,10-14,bumi_other,335.0
2022-01-01,both,10-14,chinese,548.5
2022-01-01,both,10-14,indian,166.3
2022-01-01,both,10-14,other_citizen,15.9
2022-01-01,both,10-14,other_noncitizen,67.3
2022-01-01,both,15-19,overall,2781.9
2022-01-01,both,15-19,bumi_malay,1564.6
2022-01-01,both,15-19,bumi_other,352.2
2022-01-01,both,15-19,chinese,543.9
2022-01-01,both,15-19,indian,170.7
2022-01-01,both,15-19,other_citizen,17.6
2022-01-01,both,15-19,other_noncitizen,132.8
2022-01-01,both,20-24,overall,2912.8
2022-01-01,both,20-24,bumi_malay,1565.8
2022-01-01,both,20-24,bumi_other,329.6
2022-01-01,both,20-24,chinese,488.7
2022-01-01,both,20-24,indian,158.6
2022-01-01,both,20-24,other_citizen,20.0
2022-01-01,both,20-24,other_noncitizen,350.1
2022-01-01,both,25-29,overall,2835.0
2022-01-01,both,25-29,bumi_malay,1389.9
2022-01-01,both,25-29,bumi_other,332.5
2022-01-01,both,25-29,chinese,479.4
2022-01-01,both,25-29,indian,156.6
2022-01-01,both,25-29,other_citizen,19.8
2022-01-01,both,25-29,other_noncitizen,456.8
2022-01-01,both,30-34,overall,2850.1
2022-01-01,both,30-34,bumi_malay,1446.6
2022-01-01,both,30-34,bumi_other,321.0
2022-01-01,both,30-34,chinese,515.1
2022-01-01,both,30-34,indian,166.9
2022-01-01,both,30-34,other_citizen,22.9
2022-01-01,both,30-34,other_noncitizen,377.6
