date,sex,age,ethnicity,population
2016-01-01,both,overall,overall,31633.5
2016-01-01,both,overall,bumi_malay,15796.3
2016-01-01,both,overall,bumi_other,3688.9
2016-01-01,both,overall,chinese,6645.7
2016-01-01,both,overall,indian,1991.6
2016-01-01,both,overall,other_citizen,280.9
2016-01-01,both,overall,other_noncitizen,3230.0
2016-01-01,both,0-4,overall,2630.4
2016-01-01,both,0-4,bumi_malay,1609.6
2016-01-01,both,0-4,bumi_other,335.5
2016-01-01,both,0-4,chinese,371.6
2016-01-01,both,0-4,indian,121.3
2016-01-01,both,0-4,other_citizen,42.9
2016-01-01,both,0-4,other_noncitizen,149.5
2016-01-01,both,5-9,overall,2513.4
2016-01-01,both,5-9,bumi_malay,1465.5
2016-01-01,both,5-9,bumi_other,365.3
2016-01-01,both,5-9,chinese,417.0
2016-01-01,both,5-9,indian,146.4
2016-01-01,both,5-9,other_citizen,39.0
2016-01-01,both,5-9,other_noncitizen,80.2
2016-01-01,both,10-14,overall,2616.0
2016-01-01,both,10-14,bumi_malay,1502.5
2016-01-01,both,10-14,bumi_other,382.4
2016-01-01,both,10-14,chinese,478.4
2016-01-01,both,10-14,indian,164.3
2016-01-01,both,10-14,other_citizen,31.2
2016-01-01,both,10-14,other_noncitizen,57.1
2016-01-01,both,15-19,overall,2862.7
2016-01-01,both,15-19,bumi_malay,1508.8
2016-01-01,both,15-19,bumi_other,375.2
2016-01-01,both,15-19,chinese,517.9
2016-01-01,both,15-19,indian,173.5
2016-01-01,both,15-19,other_citizen,28.6
2016-01-01,both,15-19,other_noncitizen,258.6
2016-01-01,both,20-24,overall,3244.6
2016-01-01,both,20-24,bumi_malay,1510.4
2016-01-01,both,20-24,bumi_other,377.8
2016-01-01,both,20-24,chinese,544.0
2016-01-01,both,20-24,indian,176.9
2016-01-01,both,20-24,other_citizen,26.3
2016-01-01,both,20-24,other_noncitizen,609.2
2016-01-01,both,25-29,overall,3189.4
2016-01-01,both,25-29,bumi_malay,1427.8
2016-01-01,both,25-29,bumi_other,332.3
2016-01-01,both,25-29,chinese,539.3
2016-01-01,both,25-29,indian,180.0
2016-01-01,both,25-29,other_citizen,24.2
2016-01-01,both,25-29,other_noncitizen,685.9
2016-01-01,both,30-34,overall,2797.8
2016-01-01,both,30-34,bumi_malay,1294.1
2016-01-01,both,30-34,bumi_other,306.9
2016-01-01,both,30-34,chinese,535.8
2016-01-01,both,30-34,indian,177.2
2016-01-01,both,30-34,other_citizen,20.4
2016-01-01,both,30-34,other_noncitizen,463.2
2016-01-01,both,35-39,overall,2236.9
2016-01-01,both,35-39,bumi_malay,1011.4
2016-01-01,both,35-39,bumi_other,234.2
2016-01-01,both,35-39,chinese,488.3
2016-01-01,both,35-39,indian,151.7
2016-01-01,both,35-39,other_citizen,14.6
2016-01-01,both,35-39,other_noncitizen,336.5
2016-01-01,both,40-44,overall,1918.5
2016-01-01,both,40-44,bumi_malay,879.2
2016-01-01,both,40-44,bumi_other,208.4
2016-01-01,both,40-44,chinese,464.1
2016-01-01,both,40-44,indian,133.1
2016-01-01,both,40-44,other_citizen,10.8
2016-01-01,both,40-44,other_noncitizen,222.8
2016-01-01,both,45-49,overall,1741.4
2016-01-01,both,45-49,bumi_malay,819.7
2016-01-01,both,45-49,bumi_other,191.1
2016-01-01,both,45-49,chinese,457.0
2016-01-01,both,45-49,indian,126.5
2016-01-01,both,45-49,other_citizen,10.0
2016-01-01,both,45-49,other_noncitizen,137.0
2016-01-01,both,50-54,overall,1585.1
2016-01-01,both,50-54,bumi_malay,757.2
2016-01-01,both,50-54,bumi_other,170.6
2016-01-01,both,50-54,chinese,436.4
2016-01-01,both,50-54,indian,122.4
